,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
98,3,91943,control,1,6,T108_03,0,1,3,T110_03,3.0,T111_03a,5036.0,TC04x03,true,TC04,1,0
99,2,1051,high,1,3,T108_03,1,1,3,T110_03,6.0,T111_03a,3223.0,TC04x03,true,TC04,1,1
100,1,46667,low,1,2,T108_03,1,1,3,T110_03,5.0,T111_03a,3829.0,TC04x03,true,TC04,1,1
101,3,2274,control,1,7,T108_03,1,1,3,T110_03,6.0,T111_03a,1769.0,TC04x03,true,TC04,1,1
102,1,42927,low,1,2,T108_03,1,1,3,T110_03,5.0,T111_03a,2361.0,TC04x03,true,TC04,1,1
103,1,9902,low,1,1,T108_03,1,1,3,T110_03,5.0,T111_03a,1384.0,TC04x03,true,TC04,1,1
104,3,68993,control,1,7,T108_03,1,1,3,T110_03,6.0,T111_03a,1536.0,TC04x03,true,TC04,1,1
105,1,73912,low,1,2,T108_03,1,1,3,T110_03,6.0,T111_03a,5949.0,TC04x03,false,TC04,1,1
106,1,38511,low,1,2,T108_03,1,1,3,T110_03,4.0,T111_03a,4273.0,TC04x03,true,TC04,1,1
107,2,85387,high,1,3,T108_03,1,1,3,T110_03,6.0,T111_03a,3000.0,TC04x03,true,TC04,1,1
108,2,36995,high,1,4,T108_03,1,1,3,T110_03,6.0,T111_03a,2670.0,TC04x03,true,TC04,1,1
109,2,91036,high,1,3,T108_03,1,1,3,T110_03,6.0,T111_03a,2321.0,TC04x03,true,TC04,1,1
110,3,68330,control,1,7,T108_03,1,1,3,T110_03,6.0,T111_03a,3296.0,TC04x03,true,TC04,1,1
111,1,9170,low,1,2,T108_03,1,1,3,T110_03,3.0,T111_03a,3277.0,TC04x03,true,TC04,1,1
112,2,3062,high,1,4,T108_03,1,1,3,T110_03,5.0,T111_03a,1334.0,TC04x03,true,TC04,1,1
113,2,82248,high,1,3,T108_03,1,1,3,T110_03,4.0,T111_03a,2563.0,TC04x03,true,TC04,1,1
114,1,88704,low,1,2,T108_03,1,1,3,T110_03,6.0,T111_03a,2210.0,TC04x03,true,TC04,1,1
115,3,54993,control,1,6,T108_03,1,1,3,T110_03,6.0,T111_03a,4679.0,TC04x03,true,TC04,1,1
