"Participant","Partner","Stakes","Context","Trustworthiness","Risk"
92,"AI","HS","med",6,7
93,"hu","LS","med",6,3
93,"AI","LS","med",5,4
93,"hu","HS","med",6,2
93,"AI","HS","med",3.11111111111111,6
94,"hu","LS","med",7,3
94,"AI","LS","med",3.33333333333333,5
94,"hu","HS","med",7,6
94,"AI","HS","med",4,6
95,"hu","LS","med",5.88888888888889,3
95,"AI","LS","med",4.22222222222222,5
95,"hu","HS","med",6.11111111111111,3
95,"AI","HS","med",4.55555555555556,5
96,"hu","LS","med",4.44444444444444,5
96,"AI","LS","med",4,4
96,"hu","HS","med",4.55555555555556,6
96,"AI","HS","med",3.33333333333333,5
97,"hu","LS","med",6.44444444444444,2
97,"AI","LS","med",2.44444444444444,3
97,"hu","HS","med",6,3
97,"AI","HS","med",2,7
98,"hu","LS","med",6.44444444444444,2
98,"AI","LS","med",5.22222222222222,3
98,"hu","HS","med",5.77777777777778,2
98,"AI","HS","med",4.33333333333333,6
99,"hu","LS","med",5.22222222222222,3
99,"AI","LS","med",4.77777777777778,3
99,"hu","HS","med",6.55555555555556,1
99,"AI","HS","med",4.55555555555556,4
100,"hu","LS","med",6.55555555555556,1
100,"AI","LS","med",6.44444444444444,1
100,"hu","HS","med",6.66666666666667,2
100,"AI","HS","med",5.55555555555556,5
101,"hu","LS","med",5.77777777777778,3
101,"AI","LS","med",3.11111111111111,4
101,"hu","HS","med",6,5
101,"AI","HS","med",4.11111111111111,6
102,"hu","LS","med",7,1
102,"AI","LS","med",6.33333333333333,2
102,"hu","HS","med",7,6
102,"AI","HS","med",5.77777777777778,6
103,"hu","LS","med",6.33333333333333,2
103,"AI","LS","med",6,2
103,"hu","HS","med",6.66666666666667,3
103,"AI","HS","med",5.44444444444444,5
104,"hu","LS","med",7,1
104,"AI","LS","med",6.33333333333333,1
104,"hu","HS","med",7,1
104,"AI","HS","med",5.77777777777778,6
105,"hu","LS","med",6.66666666666667,1
105,"AI","LS","med",2.77777777777778,5
105,"hu","HS","med",6.88888888888889,1
105,"AI","HS","med",3.11111111111111,7
106,"hu","LS","med",5,3
106,"AI","LS","med",4,5
106,"hu","HS","med",5,3
106,"AI","HS","med",4,5
107,"hu","LS","med",6,2
107,"AI","LS","med",4.77777777777778,3
107,"hu","HS","med",6,1
107,"AI","HS","med",3,6
108,"hu","LS","med",6.88888888888889,1
108,"AI","LS","med",7,1
108,"hu","HS","med",7,5
108,"AI","HS","med",7,6
109,"hu","LS","med",4.55555555555556,7
109,"AI","LS","med",5.22222222222222,6
109,"hu","HS","med",6.33333333333333,1
109,"AI","HS","med",3.77777777777778,7
110,"hu","LS","med",7,3
110,"AI","LS","med",7,3
110,"hu","HS","med",7,4
110,"AI","HS","med",7,4
111,"hu","LS","med",7,1
111,"AI","LS","med",6,1
111,"hu","HS","med",7,1
111,"AI","HS","med",5.33333333333333,2
112,"hu","LS","med",7,1
112,"AI","LS","med",6.66666666666667,1
112,"hu","HS","med",7,1
112,"AI","HS","med",7,3
113,"hu","LS","med",7,1
113,"AI","LS","med",5.11111111111111,2
113,"hu","HS","med",7,2
113,"AI","HS","med",4.11111111111111,6
114,"hu","LS","med",5.44444444444444,6
114,"AI","LS","med",6,3
114,"hu","HS","med",5,4
114,"AI","HS","med",6,3
115,"hu","LS","med",4.22222222222222,6
115,"AI","LS","med",6,5
115,"hu","HS","med",4.11111111111111,5
115,"AI","HS","med",6.33333333333333,6
116,"hu","LS","med",6.66666666666667,1
116,"AI","LS","med",4.33333333333333,2
116,"hu","HS","med",6.22222222222222,1
116,"AI","HS","med",4.22222222222222,4
117,"hu","LS","med",5.88888888888889,2
117,"AI","LS","med",5.77777777777778,2
117,"hu","HS","med",5.88888888888889,5
117,"AI","HS","med",5.55555555555556,5
118,"hu","LS","med",6,2
118,"AI","LS","med",4.88888888888889,2
118,"hu","HS","med",6,4
118,"AI","HS","med",4.66666666666667,5
119,"hu","LS","med",7,1
119,"AI","LS","med",6.66666666666667,1
119,"hu","HS","med",6.66666666666667,2
119,"AI","HS","med",6.44444444444444,3
120,"hu","LS","med",6.66666666666667,2
120,"AI","LS","med",3,7
120,"hu","HS","med",6.88888888888889,1
120,"AI","HS","med",2.77777777777778,7
121,"hu","LS","med",5.55555555555556,2
121,"AI","LS","med",4.22222222222222,4
121,"hu","HS","med",6.44444444444444,2
121,"AI","HS","med",3.44444444444444,5
122,"hu","LS","med",7,4
122,"AI","LS","med",3.55555555555556,3
122,"hu","HS","med",6.44444444444444,3
122,"AI","HS","med",4.55555555555556,3
123,"hu","LS","med",6.77777777777778,1
123,"AI","LS","med",6.33333333333333,2
123,"hu","HS","med",7,1
123,"AI","HS","med",5.77777777777778,4
124,"hu","LS","med",6.77777777777778,1
124,"AI","LS","med",5.55555555555556,1
124,"hu","HS","med",5.77777777777778,4
124,"AI","HS","med",4.11111111111111,7
125,"hu","LS","med",6,3
125,"AI","LS","med",5,4
125,"hu","HS","med",6,3
125,"AI","HS","med",4.77777777777778,5
126,"hu","LS","med",6.22222222222222,1
126,"AI","LS","med",3.33333333333333,2
126,"hu","HS","med",6.22222222222222,3
126,"AI","HS","med",3,6
127,"hu","LS","med",7,2
127,"AI","LS","med",6.66666666666667,1
127,"hu","HS","med",7,2
127,"AI","HS","med",6.11111111111111,3
128,"hu","LS","med",5.88888888888889,2
128,"AI","LS","med",5,3
128,"hu","HS","med",6,2
128,"AI","HS","med",5,4
129,"hu","LS","med",6.77777777777778,1
129,"AI","LS","med",6.44444444444444,1
129,"hu","HS","med",6.44444444444444,2
129,"AI","HS","med",6.22222222222222,2
130,"hu","LS","med",7,1
130,"AI","LS","med",6.33333333333333,3
130,"hu","HS","med",7,1
130,"AI","HS","med",6.44444444444444,3
131,"hu","LS","med",7,1
131,"AI","LS","med",5,5
131,"hu","HS","med",7,3
131,"AI","HS","med",5.33333333333333,6
132,"hu","LS","med",4,4
132,"AI","LS","med",4,4
132,"hu","HS","med",4,6
132,"AI","HS","med",3.55555555555556,6
133,"hu","LS","med",5.33333333333333,2
133,"AI","LS","med",5.11111111111111,3
133,"hu","HS","med",5.22222222222222,2
133,"AI","HS","med",4.88888888888889,5
134,"hu","LS","med",6.11111111111111,2
134,"AI","LS","med",4.22222222222222,3
134,"hu","HS","med",6,3
134,"AI","HS","med",3.88888888888889,6
135,"hu","LS","med",7,1
135,"AI","LS","med",6.66666666666667,2
135,"hu","HS","med",7,1
135,"AI","HS","med",4,6
136,"hu","LS","med",5,5
136,"AI","LS","med",5.44444444444444,5
136,"hu","HS","med",5.44444444444444,6
136,"AI","HS","med",4.88888888888889,6
137,"hu","LS","med",6,1
137,"AI","LS","med",5.44444444444444,1
137,"hu","HS","med",7,1
137,"AI","HS","med",4,4
138,"hu","LS","med",7,1
138,"AI","LS","med",5.11111111111111,1
138,"hu","HS","med",6.66666666666667,3
138,"AI","HS","med",3.55555555555556,5
139,"hu","LS","med",3.77777777777778,1
139,"AI","LS","med",4.11111111111111,1
139,"hu","HS","med",5.33333333333333,5
139,"AI","HS","med",3.88888888888889,5
140,"hu","LS","med",7,1
140,"AI","LS","med",7,2
140,"hu","HS","med",7,2
140,"AI","HS","med",6.33333333333333,5
141,"hu","LS","med",7,1
141,"AI","LS","med",3.77777777777778,2
141,"hu","HS","med",6.11111111111111,3
141,"AI","HS","med",2.55555555555556,7
142,"hu","LS","med",6.88888888888889,1
142,"AI","LS","med",5.44444444444444,2
142,"hu","HS","med",6.22222222222222,1
142,"AI","HS","med",4.88888888888889,5
143,"hu","LS","med",4.77777777777778,2
143,"AI","LS","med",3.22222222222222,2
143,"hu","HS","med",6,2
143,"AI","HS","med",4.11111111111111,3
144,"hu","LS","med",7,7
144,"AI","LS","med",4.66666666666667,3
144,"hu","HS","med",7,5
144,"AI","HS","med",3,7
145,"hu","LS","med",6.22222222222222,2
145,"AI","LS","med",6.33333333333333,1
145,"hu","HS","med",6.44444444444444,2
145,"AI","HS","med",5.11111111111111,3
146,"hu","LS","med",5.55555555555556,4
146,"AI","LS","med",5.66666666666667,4
146,"hu","HS","med",4.11111111111111,3
146,"AI","HS","med",5.33333333333333,5
147,"hu","LS","med",4.88888888888889,2
147,"AI","LS","med",4.11111111111111,3
147,"hu","HS","med",4.88888888888889,3
147,"AI","HS","med",3.88888888888889,6
148,"hu","LS","med",7,1
148,"AI","LS","med",6.55555555555556,1
148,"hu","HS","med",7,1
148,"AI","HS","med",6.66666666666667,2
149,"hu","LS","med",6.11111111111111,1
149,"AI","LS","med",5.66666666666667,2
149,"hu","HS","med",6.11111111111111,2
149,"AI","HS","med",5.88888888888889,3
150,"hu","LS","med",5.88888888888889,2
150,"AI","LS","med",2.44444444444444,6
150,"hu","HS","med",6,2
150,"AI","HS","med",2.66666666666667,6
151,"hu","LS","med",6.33333333333333,1
151,"AI","LS","med",6,2
151,"hu","HS","med",6,2
151,"AI","HS","med",5.11111111111111,5
152,"hu","LS","med",6.88888888888889,1
152,"AI","LS","med",5.33333333333333,1
152,"hu","HS","med",6.55555555555556,1
152,"AI","HS","med",5.55555555555556,1
153,"hu","LS","med",7,1
153,"AI","LS","med",7,1
153,"hu","HS","med",7,5
153,"AI","HS","med",6,5
154,"hu","LS","med",6,2
154,"AI","LS","med",6,2
154,"hu","HS","med",5.88888888888889,2
154,"AI","HS","med",6,6
155,"hu","LS","med",7,2
155,"AI","LS","med",5,4
155,"hu","HS","med",7,3
155,"AI","HS","med",5.11111111111111,7
156,"hu","LS","med",6.55555555555556,2
156,"AI","LS","med",5.77777777777778,1
156,"hu","HS","med",6.44444444444444,6
156,"AI","HS","med",5.22222222222222,5
157,"hu","LS","med",5.33333333333333,2
157,"AI","LS","med",4.77777777777778,2
157,"hu","HS","med",5.88888888888889,5
157,"AI","HS","med",4.44444444444444,6
158,"hu","LS","med",4.11111111111111,4
158,"AI","LS","med",6.66666666666667,1
158,"hu","HS","med",3.88888888888889,4
158,"AI","HS","med",6.66666666666667,1
159,"hu","LS","med",5.66666666666667,2
159,"AI","LS","med",3.33333333333333,4
159,"hu","HS","med",6.33333333333333,1
159,"AI","HS","med",2,6
160,"hu","LS","med",4.77777777777778,1
